date,index_symbol,eod_index_value,high,low,index_market_value,dividend_market_value
2020-08-05,NQX,2225.09,2228.34,2215.54,12515602164029.0,
2024-06-12,NQX,3893.04,3911.4,3869.46,23062238318542.0,
2023-09-26,NQX,2909.17,2935.7,2901.14,16833356593745.0,
2023-07-10,NQX,3009.13,3013.29,2984.92,17362946684139.0,
2018-09-14,NQX,1509.1,1516.26,1503.01,8705097713334.0,
2020-02-28,NQX,1692.37,1698.09,1626.71,9491179242387.0,144578193.0
2024-07-23,NQX,3950.87,3980.93,3947.24,23417222601342.0,
2022-03-25,NQX,2950.86,2961.19,2915.52,17433157280912.0,
2023-12-22,NQX,3355.48,3367.85,3340.71,19620371077885.0,
2023-03-10,NQX,2366.06,2413.92,2357.97,13721804424610.0,
2023-12-29,NQX,3365.19,3383.9,3351.58,19666766041268.0,198537708.0
2023-06-27,NQX,2989.18,2994.47,2945.35,17247854661385.0,
2023-09-25,NQX,2953.78,2954.24,2923.09,17091506349972.0,
2018-10-04,NQX,1498.0,1521.65,1487.25,8605685957118.0,1551951223.0
2021-11-26,NQX,3205.12,3260.51,3197.78,18532890673156.0,
2023-07-13,NQX,3114.4,3120.55,3084.14,17970349866182.0,
2022-01-25,NQX,2829.82,2882.09,2806.76,16724964739846.0,
2022-01-07,NQX,3118.44,3167.0,3105.36,18394903183006.0,245886592.0
2020-08-24,NQX,2325.23,2345.62,2307.12,13094565457453.0,60069717.0
2020-06-29,NQX,1992.23,1993.02,1948.58,11196153728265.0,451878753.0
2020-04-28,NQX,1735.52,1783.67,1733.75,9759962739521.0,
2025-02-24,NQX,4270.42,4345.62,4268.46,26195411516258.0,1430998273.0
2025-02-13,NQX,4406.14,4407.63,4351.61,27027982209162.0,
2021-09-20,NQX,3002.44,3031.45,2964.21,17360940813163.0,
2021-07-14,NQX,2980.09,3000.23,2974.35,17020398073383.0,
2020-10-22,NQX,2332.58,2347.84,2305.95,13161270130333.0,
2020-08-20,NQX,2295.41,2299.43,2253.69,12911147067433.0,232377597.0
2018-06-22,NQX,1439.5,1447.95,1435.49,8149497100255.0,
2019-12-10,NQX,1670.86,1678.58,1667.87,9331630766798.0,173636051.0
2019-10-31,NQX,1616.77,1622.09,1608.33,9071362314062.0,621023069.0
2019-06-20,NQX,1547.61,1554.11,1536.29,8720968630885.0,
2019-03-15,NQX,1461.4,1466.26,1453.14,8354721282047.0,185305930.0
2021-04-14,NQX,2760.78,2798.13,2756.43,15771971827511.0,443303510.0
2021-01-21,NQX,2681.0,2686.74,2659.56,15311418709401.0,
2019-07-26,NQX,1603.39,1605.44,1597.34,9002759367183.0,
2019-07-09,NQX,1565.37,1566.78,1549.66,8789289909084.0,127285985.0
2018-08-21,NQX,1479.45,1488.28,1477.67,8534040702898.0,117179781.0
2018-08-02,NQX,1474.43,1476.11,1444.27,8505109111395.0,26341348.0
2022-09-01,NQX,2454.92,2458.07,2402.6,14443511078549.0,2030505110.0
2022-09-14,NQX,2426.88,2434.08,2403.29,14278508554634.0,1854151964.0
2019-12-12,NQX,1693.38,1698.63,1676.02,9457405222128.0,1288725667.0
2019-08-30,NQX,1538.2,1549.42,1528.58,8668312514641.0,127462997.0
2019-03-27,NQX,1461.64,1475.4,1450.41,8236504540086.0,295240331.0
2022-03-28,NQX,2997.48,2997.82,2941.18,17708572600625.0,
2022-06-21,NQX,2309.35,2327.69,2289.39,13587032139911.0,2137601055.0
2018-11-21,NQX,1315.13,1327.87,1313.24,7569829811840.0,455630689.0
2024-04-16,NQX,3542.73,3563.54,3532.19,20987052552544.0,
2024-05-13,NQX,3639.72,3646.7,3629.51,21561618619148.0,
2024-10-29,NQX,4110.13,4120.01,4058.92,24352081772120.0,244051516.0
2023-03-09,NQX,2399.18,2468.09,2394.07,13913882576337.0,1332046336.0
2018-08-27,NQX,1511.83,1512.19,1502.4,8720829986779.0,
2023-12-04,NQX,3167.93,3170.49,3139.12,18330674443321.0,168466195.0
2021-07-15,NQX,2958.94,2981.5,2943.51,16899603873750.0,
2024-07-03,NQX,4037.33,4037.33,3999.06,23870202918139.0,1897944478.0
2024-01-10,NQX,3358.61,3365.47,3330.95,19628328159185.0,
2020-08-13,NQX,2235.67,2254.24,2227.93,12575147617295.0,413984509.0
2020-01-29,NQX,1820.32,1830.62,1813.46,10208784242774.0,
2024-03-28,NQX,3650.94,3661.67,3646.28,21628055563575.0,198569205.0
2023-08-22,NQX,2981.79,3007.53,2976.8,17290151986151.0,
2023-04-17,NQX,2617.54,2621.14,2596.25,15151829342327.0,
2021-05-25,NQX,2731.55,2746.88,2722.9,15604945578170.0,
2021-12-30,NQX,3285.82,3313.92,3283.02,19382252020312.0,623472100.0
2024-03-04,NQX,3645.3,3662.69,3643.66,21303782258164.0,1576412799.0
2023-06-23,NQX,2978.3,2996.75,2964.36,17185047500540.0,
2020-11-04,NQX,2355.4,2369.29,2312.99,13290030938429.0,
2020-10-01,NQX,2316.64,2321.35,2297.72,13038318004822.0,1688352306.0
2020-04-20,NQX,1745.3,1771.03,1745.06,9814976268437.0,
2020-03-11,NQX,1601.22,1644.95,1580.2,8980027683423.0,
2023-07-19,NQX,3165.27,3186.45,3156.39,18226421919384.0,
2023-05-17,NQX,2717.85,2721.67,2683.87,15732480165050.0,5847712209.0
2023-10-11,NQX,3048.22,3049.64,3023.92,17637990391185.0,
2023-02-08,NQX,2499.08,2541.89,2494.22,14493240648900.0,441049944.0
2024-10-16,NQX,4034.81,4040.12,4007.35,23905814770018.0,
